,person,title,type,text
0,Erik W. Woodring,"Analyst, Morgan Stanley & Co. LLC",Q,"Hey. Good afternoon, guys. Thank you so much for taking the questions. Tim, maybe if we start with you, if we go
back to the December quarter and the production shutdowns around that time, I think the question a lot of us were
asking was how should we think about the deferral of demand versus destruction of demand. March quarter was
quite strong, 2% year-over-year iPhone growth. And so, as we sit here in May, how have you seen that customers
that weren't able to purchase during the December quarter behave, meaning are you seeing that they deferred
purchases to March and June? Could they be deferring purchases to later in hopes of buying a new iPhone? Just
how should maybe we think about the cadence of that? And then, I have a follow-up. Thanks."
1,Erik W. Woodring,"Analyst, Morgan Stanley & Co. LLC",Q,"Okay, perfect. Thank you for that color. And Tim, maybe to follow up, it's been three or four quarters now that
you've mentioned emerging markets like India and others. And I imagine having just opened two new stores in the
country, it's clearly an important market for you. So, maybe can you just talk about why you see India as such an
important market and others, how you think about monetization trends in the country, and specifically, what you
have to do within the country to really ensure that India becomes maybe a more material mix of your business?
And that's it for me. Thanks so much."
2,Erik W. Woodring,"Analyst, Morgan Stanley & Co. LLC",Q,Thank you so much.
3,Michael Ng,"Analyst, Goldman Sachs & Co. LLC",Q,"Hey. Good afternoon. Thank you very much for the question. It was encouraging to hear about the record
installed base across iPhone and across all devices. It's been, I think, double-digit growth over the last few years
across the active devices. I was just wondering, is that a good way to think about the installed base growth going
forward? And then, for the iPhone installed base specifically, I was just wondering if you could provide a little bit of
texture around how you think about the growth there whether regionally or by first smartphones versus switchers.
And then, I have a quick follow-up."
4,Michael Ng,"Analyst, Goldman Sachs & Co. LLC",Q,"Great. Excellent. And then, it was also encouraging to see the number of devices per iPhone user continuing to
grow. I was just wondering if you could talk about the opportunity to continue to increase that number of Apple
devices per iPhone user, and if you have any color around how the monetization per user may differ from those,
for lack of a better word, super-users versus those that may not be as deep into the ecosystem. Thanks."
5,Michael Ng,"Analyst, Goldman Sachs & Co. LLC",Q,"Excellent. Thank you, Tim."
6,Wamsi Mohan,"Analyst, BofA Securities, Inc.",Q,"Yes. Thank you. Tim, you had called out on December quarter earnings that Pro models were significantly
constrained. Did you see a catch-up on the Pro models specifically in the March quarter and was the mix better
than typical? And do you see that mix renormalizing here in the June quarter and maybe you can comment on the
channel inventory levels as well for iPhones? And I have a follow-up."
7,Wamsi Mohan,"Analyst, BofA Securities, Inc.",Q,"Okay. Thanks, Tim. And Tim, as a follow-up, you've launched so many services around Apple Pay. Most recently,
you mentioned buy now, pay later, a high-yield savings account. Where do you see the expansion in the
payments ecosystem over time? And do you look at the payments ecosystem as a standalone revenue
opportunity or is it more about making the devices even more inseparable from us? Thank you."
8,Wamsi Mohan,"Analyst, BofA Securities, Inc.",Q,"Thanks, Tim."
9,David Vogt,"Analyst, UBS Securities LLC",Q,"Great. Thanks for taking my question. Tim, I just wanted to go back to maybe kind of dig into the restocking of
inventory in the channel versus what we're hearing from a demand perspective that appears to be a little bit softer
in the March quarter from some of your larger carriers that exhibited relatively weak upgrade rates. So, just want
to kind of get a sense for where you're seeing demand signals today vis-Ã -vis how you were thinking about it
maybe a month ago or even three months ago. And is there sort of an acceleration in demand or any sort of
signals that you might want to share with us at this point? And then, I have a follow-up."
