,person,title,type,text
0,Shawn M. Guertin,"Chief Financial Officer & Executive Vice President, CVS Health Corp.",A,"Yeah. So I think there's, like you said, there's really two things that have tended to move in opposite directions
pretty consistently throughout all of this. And so, in our Health Care Benefits business, obviously, the cost of
treating COVID, some of the temporal effects we had around revenue have been a negative. And those largely
have been offset by the vaccines and testing revenue that we got on the Retail side. So, on that insurance
business, what I'd say in the first quarter, despite the fact that Omicron, so higher kind of levels of case counts
that we'd seen, that did mitigate pretty quickly. We didn't see all the severity, for example, that we saw in Delta.

And when you looked at our â€“ that business, the commercial business itself, when you put it all in there, which
includes pricing now, right? For the first time, we have a meaningful amount where we've tried to price for COVID.
When you put all that together, it was pretty much consistent with what I call its baseline trend expectation. So
think about that to where we've price for that business. And so that one felt like it was pretty much on the mark
even with some of that COVID in there.

The government business continues to still lag behind that in a bit of a favorable way, where the costs still seem
like they're a little bit suppressed from what you would think would be sort of a trended baseline. And so, as we
think through the rest of the year, we can still think that's going to continue to trend back towards a baseline. But
there certainly could be some periods where we continue to experience some of that as it sort of makes its move
back. I feel like I need to always caveat this, right, that every â€“ going back to 2019 and trying to trend forward, it's
getting harder and harder to draw the fine points on this. But I think in the broad construct, that's pretty clear it
behave that way.

On the Retail side, we continue to have a benefit from vaccines and testing, both over-the-counter and the
traditional testing that we had been doing. We had a very good quarter in front of the store. Some of that might be
COVID-driven, some of it isn't. And so that continued to be a positive. It was actually better than last year, but that
had more to do with sort of the anomalies in the first quarter of last year. We were just starting the vaccine
initiatives then. We didn't really have the expense model down. We did a lot of the long-term care vaccines in the
first quarter. So, that like last quarter was an anomaly.

When you look at big picture, though, right, we're looking, I think, we still are forecasting around 18 million
vaccines, which would be down pretty significantly from 59 million that we did last year. We do think there'll be a
fatter tail on testing and treatment. So, we will have a contribution this year for sure in Retail. And the question will
be how much does our pricing sort of match? What we see on the HCB side, and that will largely be how the year
would play out.






The last thing I would say on this is, and I said it on the call, I think as some people have thought about 2023, we
have this discussion about, well, what if it goes to zero? And I get that mathematically, but I got to tell you, that's
not what it feels like it's going to happen, right, as you sort of watch it. And I'm not saying it's going to be severe,
but rather the more endemic nature of this, I could continue to see that there could be testing, treatment, booster,
seasonal â€“ I mean, it's â€“ no one could predict that with certainty. But I think there'll be something there.

But the other thing is, I think we've also started to see the potential power that we might have in broader testing
and treatment cycles, whether it just be regular flu and other things, where we can use the MinuteClinic, do the
tests there, get the â€“ have somebody walk out of that store with the script that they need. So, I think there are
some tailing effects as we go towards 2023, and I actually think there are some opportunistic things that we might
be able to do better going forward that we've learned, frankly, from the experience."
1,Shawn M. Guertin,"Chief Financial Officer & Executive Vice President, CVS Health Corp.",A,"Right. Yeah. There's a lot of fingers in that question, but a lot of that activity today, you can sort of see centering
around the MinuteClinic and the sort of HealthHUB infrastructure. If you step back and you thought about the
assets we have, whether it'd be the MinuteClinics and HealthHUBs, whether it be the pharmacy operations,
whether it be the home infusion business, you can sort of see all these fulfillment assets sort of circling around
what â€“ kind of a nucleus, which would be sort of the care delivery. And that's largely something as we've talked
about we think could be very powerful, but likely we're going to need to jumpstart with an acquisition as opposed
to de novo.

But to the point of your question, I think there are things we're doing now with the assets to prepare for that. And I
think the MinueClinics and the HealthHUBs are a great example where those heretofore had largely been in a
very, kind of, wide catch basin, if you will, to take care of episodic care that people have generally lower acuity.
They'll always play potentially that role.

But as we think about that sort of connected delivery system, I think there's two other really important roles they
could play. One is, as a physical outlet and connectivity point for virtual care. I think the need for people to
transition easily from a virtual or digital visit, when they do need something physical, whether that'd be a script, a
simple test, the ability to have that kind of connectivity is, I think, going to be very powerful. The role that those
could play in helping manage risk-based payment, I also think it's something we've thought a lot about and it
could be very powerful.

And on the more sort of day-to-day thing, we've spent a lot of time thinking about how to make that experience
more convenient for people. And we've recently launched for the MinuteClinic sort of the ability to schedule sort of
through the Google search. And that I think â€“ it's early, but I think we've already scheduled 30,000 visits, which is





an incredible number in the short time. It's there and it's all from convenience to your point. And so, I think the key
for us, right, the key that will be unique I think to our offering is really to be â€“ to really give the consumer a true
differentiated consumer experience in healthcare, one that's really sort of focused on the convenience. And I think
that's figuring out what those things are the people value and how we can build that now, I think will really help us.
It'll help us now in the business, but it will really help us in the long run."
2,Shawn M. Guertin,"Chief Financial Officer & Executive Vice President, CVS Health Corp.",A,Right.
3,Shawn M. Guertin,"Chief Financial Officer & Executive Vice President, CVS Health Corp.",A,Right.
4,Shawn M. Guertin,"Chief Financial Officer & Executive Vice President, CVS Health Corp.",A,"Yeah. So, in that â€“ one aspect of that is actually an answer to your last question too like what are we doing now,
right? So, some of these scheduling things that we've done, are [indiscernible] (00:09:21). We've completely
overhauled cvshealth.com. We're really thinking about convenience capabilities. So, for example, we've launched
buy online pickup in store, which in and of itself isn't a novel concept broadly, but not something we've been
doing. The ability, for example, to integrate that purchase experience between the back of the store and the front
of the store, the ability to add over the counter, right. There's digital capabilities that I think you can easily see can
kind of gain momentum in sort of a more robust care delivery operation. And I think, the nice thing about these
investments is we can see some of the impact just in today's world, right? We know digital customers kind of
make more trips to the store. We know that digital customers in our loyalty program buy sort of certain products
that have higher margin. There's just a lot that we've already been able to see and we have â€“ it's early but we
have good momentum.

So the other side of that is when we think about sort of what's out there and who the right partner is, I would say â€“
so we can debate whether it's one, two or three. But one of those is that technology and that consumer-driven,





that consumer-facing technology to really make that experience better and that can be scheduling. That can be a
lot of things. But that's really important. It's one of the things that we don't necessarily have in a state, where I
think we could hit the ground running. So every asset we talk to, the state of their technology and, in particular, its
ability to scale and its ability to be consumer-facing is really one of the top two or three things on our list right
away. It's really a gating item in many ways."
5,Shawn M. Guertin,"Chief Financial Officer & Executive Vice President, CVS Health Corp.",A,"Yeah. I think where that would manifest itself most clearly is in how we might decide where to go first
geographically. It just â€“ it will make sense, right, to sort of do some of that, to your point, where we can take
advantage of the test lab and we can provide incentives that way. And so, I think we will do this in a way that it
makes the most sense that whether it's our Caremark membership or whether it's our Aetna membership that that
we can expose them to these things. And I think we all think of that.

But to your point, in many ways, that's a temporal benefit only, because we really want and need these things to
be all-payer. So to some extent, right, that will depend on the state of our discussions with other payers, and that
could be from the big guys everybody knows to local Blues players, right, potentially. And we could think about
how we might sort of partner and that will also be sort of a by-product of this as well. So, I do think that that
business in the short term is a real asset, to your point, to learn from, one, where we I think we can kind of
accelerate development because of it. But in the long run, it's got to work for a broad population."
6,Shawn M. Guertin,"Chief Financial Officer & Executive Vice President, CVS Health Corp.",A,"Yeah. So I think on MA, right, that's one I feel very positive about as a business. Like you said, it's got a long-term
track record of success. I think the good news for us is we're not â€“ we're operating in a target margin range. So,
we don't have a problem one way or the other to swing back and forth on, which is always good. We're in good
position this year, as you mentioned, positive reimbursement environment. And we'll do what we always do in
terms of thinking about how that product has to be designed against, frankly, its local market competition.

We've been a big believer in zero-premium products and have fought hard to maintain those positions and have
one of the better positions in zero-premium and in the market. We'll continue to do that. We still have





opportunities for geographic expansion. We're a little bit under market right now in dual eligible, and so we've
seen rapid growth there. So there's a number of levers we can go on.

I do think, though, that a lot of times, these discussions sort of focus on the reimbursement issue when I think an
important part of this is also distribution. This is a product, in many ways, that's sold, not bought. And so the
importance of distribution, which we've always put at the forefront and it's alignment with your marketing, it's a big
part of this. It's a big part of this business. And so, we've had a lot of momentum there. So I think with the different
growth avenues, I think with our solid margin position, I think with some of the things we've begun to do like
Medicare resource centers in the stores, I feel favorable about this business.

Medicaid is â€“ this is a business that I think is going to be a really good business for us, but, it's also something, to
your point, where we need to do better. We hired, I think, a little over a year ago, some new leadership, very
experienced Medicaid leadership in the space and have made a number of changes. And, it's a bit of a funny
issue to me in the sense that when we have contracts, we do great. We're profitable, we hit high quality metrics,
and we can â€“ we do excellent. Our issue has been sort of in the RFP space. As mundane as that sounds, this has
been about winning RFPs for us.

And so, obviously, we're spending a ton of time on thinking about how we get better at that. And I'm very
optimistic and confident in the leadership we have around this, but this is a space that we need to do better. I
don't â€“ this won't be something that pops necessarily in 2023, but we do have a big pipeline we're focused on.
And I think over the next few years, it's a place where we can and should see accelerated growth.

The other thing that's interesting here is because we don't talk about this a lot, but the idea of our strategy and the
vision of having these sort of conveniently located care delivery centers is actually a topic that a lot of Medicaid
administers â€“ that excites them when they think about their population and accessibility in getting to care. There's
some excitement about our model. So, I do think there's actually something sort of differentiating that we could
potentially bring into some of these RFPs going forward that could really kind of gain some traction. We tend not
to talk about Medicaid in this infrastructure a lot, but I do think we have some opportunities. And as you know,
with the 9,000 locations that we have, a lot of those are certainly in urban areas where that would be much more
accessible for people to get access."
7,Shawn M. Guertin,"Chief Financial Officer & Executive Vice President, CVS Health Corp.",A,Yeah.
8,Shawn M. Guertin,"Chief Financial Officer & Executive Vice President, CVS Health Corp.",A,"The biggest earner, right?





Michael Cherny
Analyst, BofA Securities, Inc.                                                                                                                                                                                                                            Q
Exactly. You outlined at the Investor Day back in December the biosimilar pipeline, which I know is taking on
increasing focus, HUMIRA being obviously the standout on that chart. When do you think you'll, as an
organization, have visibility into how HUMIRA will contribute to your overall earnings contribution rate?"
9,Shawn M. Guertin,"Chief Financial Officer & Executive Vice President, CVS Health Corp.",A,"Yeah. I think when we've talked about this, I think there's an element of this that I think I would say is, in many
ways, as we saw with pills and tablets, right, when the new products create competition in the market and that
leads us to be able to lower costs, that's been good for our customers and then good for the PBM. And in many
ways, that's the same potential paradigm that we see playing out in specialty generics and specialty biosimilars.

Now, I think the trick, to your point, a little bit in this is not whether that opportunity is there over a multiyear
period, but the ability to sort of see the forecasting of the timing is a little bit, I'll call it, clumsy at times, right,
because, A, these are really big drugs, right, so when they move, they â€“ things can move hard with them, but
there's a lot of variables. Your interchangeability, for example, on HUMIRA will be a big one, right? Exclusivity,
which is always part of this, even nuances with what formulations are coming to sort of the market can make a big
difference. And if you think about it, I think in the case with HUMIRA, even though it starts with February 1, there's
an exclusivity period and until we get interchangeability, that's really going to slow the adoption down on that.

Now, these discussions start early, right? I mean, we talk with these guys all the time. And in many ways, right,
the path â€“ what we want to do is get to the lowest net cost for our customer. That could be the new agents, which
it often is, but it also could be a heavily rebated brand, too. And that's sort of what we go through with each of
these sort of drug-by-drug.

So, I'm â€“ I feel pretty good about the multiyear opportunity. I think the 2023, and in particular with HUMIRA, that
one could be a little bit more muted just because of the timing of these other factors. We saw â€“ I mean, we â€“
REMICADE's a good example, right? We saw a significant â€“ the cost of that, I think, was more than 50%
degraded, and that's good, right? We're able to get value for us and get paid for that value when we do that. So, I
think we've seen the evidence, it can be there. I think, though, as we look at these things, it's really important to
understand the specifics of what's coming when to sort of know when we can see that value. And we certainly talk
a lot about that with them about how to â€“ how and when to capture that value."
