,person,title,type,text
0,Martin Viecha,"Vice President-Investor Relations, Tesla, Inc.",A,"Thank you very much. And now let's go to investor questions. The first investor question comes from [ph] Craig
(00:11:08). How many Cybertruck deliveries do you anticipate for 2024?"
1,Elon Reeve Musk,"Technoking, Chief Executive Officer & Director, Tesla, Inc.",A,"[ph] I struggle (00:11:16) to make an accurate guess at this point. Going back to what I said earlier that the ramp
is going to be extremely difficult. And it's like â€“ so there's no way around that. If you try to make â€“ if we just try to
do some copycat vehicle design, of which there are literally 200 models that are slight variations on a theme in the
combustion engine world, just distinctions without a difference, then it's really not that hard. But if you want to do
something radical and innovative and something really special like the Cybertruck, it is extremely difficult because
there's nothing to copy. You have to invent not just a car but the way to make the car.

So, the more uncharted the territory, less predictable the outcome. Now I can say that if you say, well, where will
things end up, I think we'll end up with roughly 0.25 million Cybertrucks a year. But I don't think we're going to
reach that output rate next year. But I think we'll probably reach it sometime in 2025. That's my best guess."
2,Martin Viecha,"Vice President-Investor Relations, Tesla, Inc.",A,"Thank you. The second question is, can you provide a progress update on the 4680 cell, particularly progress
towards performance improvements and cost savings outlined on Battery Day? Thank you."
3,Martin Viecha,"Vice President-Investor Relations, Tesla, Inc.",A,"Thank you. The next question from institutional investors, could you please provide an update on capacity
expansion plans for company's factories in Berlin and Austin and the opening schedule of Gigafactory Mexico?"
4,Elon Reeve Musk,"Technoking, Chief Executive Officer & Director, Tesla, Inc.",A,"Yeah. In Mexico, we're laying the groundwork to begin construction and doing all the long lead items, but I think
we want to just get a sense for what the global economy is like before we go full tilt on the Mexico factory.

I am worried about the high interest rate environment that we're in. I just can't emphasize this enough that the
vast majority of people buying a car is about the monthly payment. And as interest rates rise, the proportion of
that monthly payment that is interest increases naturally. So, if interest rates remain high or if they go even higher,
it's that much harder for people to buy the car. They simply cannot afford it.

And we are tracking, I believe, at this point for Model Y to be the best-selling car on earth, but not just in revenue
but in unit volume. If you compare that to the other vehicles that are number two and number three and whatnot,
they cost much less than our car. So, we're just hitting law of large numbers situations here.

I know people want us to advertise, and we are advertising. I think there is something to be gained on the
advertising front. I don't think it's nothing. But imploring people of a car that is great but they cannot afford doesn't
really help. So, that is really the thing that must be solved is to make the car affordable, or the average person
cannot buy it for any amount of money. They can't afford it. They can't afford it, so this is big deal."
5,Martin Viecha,"Vice President-Investor Relations, Tesla, Inc.",A,"Okay. Thank you very much. The next question is, when do you expect Model 3 Highland to be available in the
US? I just wanted to address that unfortunately, we don't answer product-related questions and timings on
earnings calls, so let's go to the next one.

Current sell-side consensus assumes that Tesla will deliver 2.3 million vehicles in 2024, representing 28% growth
versus 2023 guidance. Is this growth rate achievable without any mass market launches in 2024, and when does
Tesla expect to return to its 50% long-term CAGR?"
6,Vaibhav Taneja,"Chief Financial Officer, Tesla, Inc.",A,"Thanks for the question. When we look at 2024, there are a lot of moving pieces. Elon just talked about what is
happening in the macroeconomic environment. So, we're focused on growing our volumes in a very cost-efficient
manner and are carefully reviewing all our options, and we'll be able to provide a much more meaningful update
at our next earnings call."
7,Elon Reeve Musk,"Technoking, Chief Executive Officer & Director, Tesla, Inc.",A,"Yeah. I mean, at the risk of stating the obvious, it is not possible to have a compound growth rate of 50% forever,
or you will exceed the mass of the known universe. But I think we will grow very rapidly, much faster than any
other car company on earth by far."
8,Martin Viecha,"Vice President-Investor Relations, Tesla, Inc.",A,"Thank you. Next question is, do you have an approximate timeline in mind for the Robotaxi driven or non-driven?
What excites you most about how this project is progressing?"
9,Elon Reeve Musk,"Technoking, Chief Executive Officer & Director, Tesla, Inc.",A,"Well, the Robotaxi is, like, necessarily non-driven. I guess I am very excited about our progress with autonomy.
The end-to-end nothing but nets self-driving software is amazing. Drives me all around Austin with no
interventions, so it's clearly the right move. So, it's really pretty amazing. And also that same software and
approach will enable Optimus to do useful things and enable Optimus to learn how to do things simply by looking,
so extremely exciting in long term.

As I mentioned before, given that the company output is number of people times productivity, if you no longer
have a constraint on people, effectively you got a humanoid robot that can do as much as you'd like, your
economy is quasi-infinite or infinite for all intents and purposes. And I don't think anyone is going to do it better
than Tesla, not by a long shot.

Boston Dynamics is impressive, but their robot lacks a brain. They're like the Wizard of Oz or [ph] whatever
(00:20:45). And then you also need to be able to design humanoid robots in such a way that it can be mass
manufactured. And then at some point, the robots will manufacture the robots. Now, so we need to make sure
that there's a good place for humans in that future and we do not create some variance of the Terminator
outcome. So we're going to put a lot of effort into localized controller for humanoid robots. So basically anyone will
be able to shut it off locally. And you can't change that even if you put like a software update, you can't change
that. That has to be hardcoded."
10,Martin Viecha,"Vice President-Investor Relations, Tesla, Inc.",A,"Thank you. The next question is, why was the price dropped on FSD if it is getting better and Tobotaxi is expected
so soon?"
11,Elon Reeve Musk,"Technoking, Chief Executive Officer & Director, Tesla, Inc.",A,"Well, we just wanted to make it more affordable as more people try it, yeah. I think over time, the price of FSD will
increase proportionate to its value, so the current price has a kind of a temporary low."
12,Martin Viecha,"Vice President-Investor Relations, Tesla, Inc.",A,"Thank you. The next question is again on FSD. Mercedes is accepting legal liability for when its Level 3
autonomous driving system Drive Pilot is active. Is Tesla planning to accept legal liability for FSD? And if so,
when?"
13,Elon Reeve Musk,"Technoking, Chief Executive Officer & Director, Tesla, Inc.",A,"Well, there's a lot of people that assume we have legal liability, judging by the lawsuits. We're certainly not being
let off the hook on that front, whether we'd like to or wouldn't like to, so"
14,Elon Reeve Musk,"Technoking, Chief Executive Officer & Director, Tesla, Inc.",A,"No, I think some people understand the profundity of a Tesla AI system. But it's very, very few. It's basically baby
AGI. It has to understand reality in order to drive, baby AGI."
15,Martin Viecha,"Vice President-Investor Relations, Tesla, Inc.",A,"Thank you. The next question on Optimus, will Optimus be working on Gigafactory lines next year? If so, how
many would you guess will be deployed?"
16,Elon Reeve Musk,"Technoking, Chief Executive Officer & Director, Tesla, Inc.",A,"I think at this point, we are not ready to discuss details of the Optimus program, but we will make â€“ provide
periodic updates online. So, as you can see, where Optimus a year ago could barely walk, and now it can do
yoga, so a few years from now, it can probably do ballet."
17,Martin Viecha,"Vice President-Investor Relations, Tesla, Inc.",A,"Sounds good. And the last question from investors is, neural net path planning represent a significant advance in
capability and safety for FSD. What steps is Tesla taking to make this technology available outside the US?"
