,Unnamed: 0,person,title,type,text,pos,neg
0,0,Stephen Hoge,"President, Moderna, Inc.",A,All right.,0.0,0.0
23,23,Stephen Hoge,"President, Moderna, Inc.",A,"science and so we're very excited about as far as we â€“ and that's why as Jackie said a moment ago, we're
rolling that product forward very quickly. Do you want to handle the combo regulatory path?",2.7777777777777777,0.0
50,50,Stephen Hoge,"President, Moderna, Inc.",A,"Well, the only thing I'd just as we're hearing off is generally â€“ whether it's ACIP or other recommending
authorities, when they've created the enhanced categories, there are precedents for accelerated approval
products being recommended based on immunogenicity. So while we have the obligation to fulfill that and I don't
think it's â€“ we don't see it right now as initially limiting.",1.7241379310344827,0.0
13,13,Stephen Hoge,"President, Moderna, Inc.",A,"The one thing I'd add though is obviously we have a intermediate goal of filing. But that's not really the objective,
right? The objective is to get the product to market. So even the objective isn't approval, it's to get the product to
market. And so the other piece of the puzzle that we're working on right now that will be a part of any licensure
package is manufacturing, global manufacturing to supply this product to thousands of people â€“ tens of thousands
of people pretty quickly. And so what you see us doing and hopefully we've been consistent about, we do believe
â€“ it's our perspective, we do believe there's a path towards accelerated approval. We do believe that it requires
that the responses continue to deepen and remain durable, right?





The signal has got to get it's been strong, it needs to stay strong, as we follow over time. We believe we've got to
demonstrate the commitment that Kyle mentioned, which is we've got to be in that Phase 3 study, we're in, and
we're enrolling fast. And then we've got to build the infrastructure to provide that product to patients in the real
world, because that's ultimately what gets licensed. It's not a file, it's not a clinical study, it's product. And so these
are the things you see us doing. Can that happen as early as â€“ by 2025? Clearly, we're trying to signal we do
believe that, but we've got work to do across those three things together. I was",0.8163265306122449,0.0
15,15,Kyle Holen,"Senior Vice President, Head of Development, Therapeutics and Oncology, Research and Development, Moderna, Inc.",A,"Just one other thing I'll add is, the important part of this is making sure that we have consistency across
endpoints. And so we've shown consistency in RFS, DMFS by tumor inflammatory score, a PD-L1 status, right?
No matter how we look at the data, we see consistency across the data. And I think that gives us more confidence
and certainly will give regulators more confidence.",0.0,0.0
52,52,James M. Mock,"Chief Financial Officer, Moderna, Inc.",A,"Yeah, sure. No change. At the last earnings call, we guided that about 30% of our revenue in the second half
would be recognized in the third quarter, which then 70% in the fourth quarter. So still sticking to that.",0.0,0.0
14,14,Kyle Holen,"Senior Vice President, Head of Development, Therapeutics and Oncology, Research and Development, Moderna, Inc.",A,"And whether that happens, the accelerated approval or not, we're going to have to run the Phase 3 study. So it's
really important that we focus on that Phase 3 study, get patients in that study, and make sure that we have that
fully enrolled and executed. So that's very, very important.",0.0,0.0
6,6,Stephen Hoge,"President, Moderna, Inc.",A,"Yeah. What's clear is we've met the regulatory guidance for accelerated approval in terms of new 
(02:56:49) 303 study, which was the thing we were looking for.",0.0,0.0
5,5,Jacqueline Miller,"Senior Vice President-Development, Infectious Diseases and Research & Development, Moderna, Inc.",A,"Yeah. Nothing to add, I mean, I think that's a â€“ so we're in the process of having those conversations now, and
we'll know more, I guess when we do.",0.0,0.0
17,17,Kyle Holen,"Senior Vice President, Head of Development, Therapeutics and Oncology, Research and Development, Moderna, Inc.",A,Sorry.,0.0,0.0
26,26,Michelle Brown,"Vice President, Portfolio Leadership, INT Therapeutics and Oncology, Moderna, Inc.",A,I think we can wait a couple of weeks.,0.0,0.0
19,19,Kyle Holen,"Senior Vice President, Head of Development, Therapeutics and Oncology, Research and Development, Moderna, Inc.",A,Intratumoral.,0.0,0.0
39,39,Kyle Holen,"Senior Vice President, Head of Development, Therapeutics and Oncology, Research and Development, Moderna, Inc.",A,"But regardless, this is where Jackie's world and my world are very, very different. We're hoping for very small
studies, 12 to maximum 50 patients in these studies for an approval. Jackie, I can't imagine a vaccine ever getting
approved on 12 patients, but",0.0,0.0
49,49,Jacqueline Miller,"Senior Vice President-Development, Infectious Diseases and Research & Development, Moderna, Inc.",A,"Sure, I can talk about â€“ so, part of the whole accelerated approval pathway and the regulations is that you
conduct post-marketing efficacy studies. So we are anticipating undertaking that study and hospitalizations would
be an endpoint obviously built into that study just like they've been built into COVID-19 and RSV and the original
actually P302 study. And then I'll hand it off to  (03:30:42).",0.0,0.0
48,48,Stephen Hoge,"President, Moderna, Inc.",A,Do you want to take first one?,0.0,0.0
16,16,Stephen Hoge,"President, Moderna, Inc.",A,We could talk all day about this.,0.0,0.0
43,43,Kyle Holen,"Senior Vice President, Head of Development, Therapeutics and Oncology, Research and Development, Moderna, Inc.",A,For sure.,0.0,0.0
22,22,Stephen Hoge,"President, Moderna, Inc.",A,It's not a class effect.,0.0,0.0
25,25,Kyle Holen,"Senior Vice President, Head of Development, Therapeutics and Oncology, Research and Development, Moderna, Inc.",A,"So in terms of the design of the lung cancer study, so I can't give you specifics around the design, because we're
waiting with our colleagues at Merck to unveil the specifics of the design. What I can tell you, though, it's an
adjuvant population. So what that means is, you wouldn't expect Stage 4s, you wouldn't expect Stage 1s. So
that's probably as much as I can share. And Michelle, you think we should share any more?",0.0,0.0
45,45,James M. Mock,"Chief Financial Officer, Moderna, Inc.",A,So maybe I'll start with cost of goods sold and,0.0,0.0
27,27,Kyle Holen,"Senior Vice President, Head of Development, Therapeutics and Oncology, Research and Development, Moderna, Inc.",A,"Okay. It'll be out very, very soon. Thank you.",0.0,0.0
29,29,Arpa Garay,"Chief Commercial Officer, Moderna, Inc.",A,"And then, I think you had a comment around the $64 to $100. That was from I believe a year ago where we were
talking about the low-ball pricing and what that might look like whereas the list pricing of that I'm talking about
 (03:13:41).",0.0,0.0
36,36,Raffael Nachbagauer,"Program Leader & Executive Director, Infectious Disease Development, Moderna, Inc.",A,"Yeah. And in addition to pharmacies, I think, also this year, GSK is on the record saying that there's a very good
uptake and they're very happy with the uptake. So we look forward to seeing the first date that when it comes by.",4.761904761904762,0.0
42,42,Jacqueline Miller,"Senior Vice President-Development, Infectious Diseases and Research & Development, Moderna, Inc.",A,That's a testament to all of the people in the clinical development operations group that made that happen.,0.0,0.0
32,32,Jacqueline Miller,"Senior Vice President-Development, Infectious Diseases and Research & Development, Moderna, Inc.",A,"Yes, that's true

 (03:15:42)",0.0,0.0
41,41,Kyle Holen,"Senior Vice President, Head of Development, Therapeutics and Oncology, Research and Development, Moderna, Inc.",A,"She gets to enroll many, many more patients than I do in our clinical trials, but somehow she still is faster than I
am.",0.0,0.0
20,20,Stephen Hoge,"President, Moderna, Inc.",A,"alternatively doing intratumoral work like we're doing in the Triplet. So that's I think just exploration still, still
waiting for the proof-of-concept.",0.0,0.0
40,40,Jacqueline Miller,"Senior Vice President-Development, Infectious Diseases and Research & Development, Moderna, Inc.",A,"MMR actually  (03:24:03) MMR, but yeah",0.0,0.0
44,44,Jacqueline Miller,"Senior Vice President-Development, Infectious Diseases and Research & Development, Moderna, Inc.",A,"Yeah. So maybe I'll take that one. I think this year will be a good data point for future sort of volumes. And I would
not say that it's a linear sort of what we see this year is what's going to happen in the future. I think there are a
couple of things that could change year-over-year. It could be severity of disease. So depending on the variant
that's circulating and the hospitalizations and the rate of people getting sick could certainly change that equation.

I think the other piece that's different this year versus in future years is the ACIP recommendation, and the
approval just happened yesterday. Whereas in future years, this will become more sort of common practice as
part of universal recommendations. And then, I think the third piece is hopefully starting next year, we'll be more in
line and in sync with the flu launch timing, so that when flu vaccines are available, COVID vaccines will also be
available, right, to capture those patients that are getting in â€“ going in early.

So I think it's a good data point, but I would believe that over time, the actual volume could increase, as there's
greater acceptance, there is greater â€“ it's also the first commercial year for the US. So there's more experience,
more acceptance, more understanding, I think, that volume or that market could grow.",1.8433179723502304,0.4608294930875576
